Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_footprint,0,-0.000509211285818933,0.0149913543039445,0,0,0,9.42477796076938E-05,7.09214541547896E-09,9.27430731204713E-44,-2.73038777231542E-42,7.08402654062148E-09,2.39022450841472E-10,5.52427646613278E-11,0,0,0,0,0,0,package://doozy_bot/meshes/base_footprint.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://doozy_bot/meshes/base_footprint.STL,,base foot print-1,Coordinate System1bf,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
base_link,-0.0450538288581056,-0.0059277144472778,0.187365876869582,0,0,0,18.2782100730227,0.247263775283813,-0.000384546195150551,0.012827341177219,0.21381201004082,-0.00397573419022689,0.328996534571311,0,0,0,0,0,0,package://doozy_bot/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://doozy_bot/meshes/base_link.STL,,base bottom.stp-1;mount 1.catpart-1;mount 2.catpart-1,Coordinate System2bl,,base_joint,fixed,-0.035588,-0.0023507,0.024935,0,0,0,base_footprint,0,0,0,,,,,,,,,,,,
l_wheel_link,2.4980018054066E-16,-0.0274350745289081,-0.000931887092704933,0,0,0,0.919701249338412,0.00158993491700959,-9.61192490481617E-18,-3.2648822387594E-19,0.00248670421133997,3.04605598807479E-05,0.001590969570754,0,0,0,0,0,0,package://doozy_bot/meshes/l_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://doozy_bot/meshes/l_wheel_link.STL,,wheel-2,Coordinate System19lw,Axis1,l_wheel_joint,continuous,0.031201,0.24816,0.058458,0,0,0,base_link,0,-0.99942,-0.033947,,,,,,,,,,,,
r_wheel_link,-8.32667268468867E-17,0.0274350745289081,0.000931887092704919,0,0,0,0.919701249338413,0.00158993491700959,-3.13745510154636E-18,-1.06569927848804E-19,0.00248670421133997,3.04605598807479E-05,0.001590969570754,0,0,0,0,0,0,package://doozy_bot/meshes/r_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://doozy_bot/meshes/r_wheel_link.STL,,wheel-1,Coordinate System20rw,Axis2,r_wheel_joint,continuous,0.031201,-0.24756,0.04162,0,0,0,base_link,0,0.99942,0.033947,,,,,,,,,,,,
upperstructure_link,0.00650426250763791,0.0139508539846484,-0.381471551160271,0,0,0,6.91172210843983,0.102083252848626,-0.000141822394323753,0.00491852393509332,0.0944757426967062,-0.00150762305279463,0.137379313455746,0,0,0,0,0,0,package://doozy_bot/meshes/upperstructure_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://doozy_bot/meshes/upperstructure_link.STL,,upper structure.stp-1;mount 3.catpart-1,Coordinate System3us,,upperstructure_joint,revolute,-0.03658,-0.023016,0.67761,0,0,0,base_link,0,0,0,0,0,0,0,,,,,,,,
l_hand_link,0.0010338863787413,-0.036294882926561,0.00530678934060824,0,0,0,0.114916853451241,0.000370894378627566,-3.78201115435855E-06,-7.89996924889332E-07,6.67653118802987E-05,9.23854158134228E-08,0.000338573320940976,0,0,0,0,0,0,package://doozy_bot/meshes/l_hand_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://doozy_bot/meshes/l_hand_link.STL,,shoulder structure.catpart-2,Coordinate System4lh,Axis_l_hand_joint,l_hand_joint,revolute,-0.002,0.14769,0.28663,0,0,0,upperstructure_link,0,1,0,0,0,0,0,,,,,,,,
l_shoulder_link,0.0110607132878407,0.00282341661543634,-0.101719140520748,0,0,0,0.0280221823538722,6.06172510078809E-05,3.60643143135308E-08,-1.35631310716094E-06,6.00193217232625E-05,1.41801460703284E-06,5.12496341113117E-06,0,0,0,0,0,0,package://doozy_bot/meshes/l_shoulder_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://doozy_bot/meshes/l_shoulder_link.STL,,upper hand mirror.stp-1,Coordinate System5lhs,Axis_l_shoulder_joint,l_shoulder_joint,revolute,-0.018538,0.044,0.0057849,0,0,0,l_hand_link,0.9997,0,-0.02442,0,0,0,0,,,,,,,,
l_elbow_link,-0.000790285985823064,0.00141266542665888,-0.0284224540187951,0,0,0,0.0708334388528727,5.54225684155051E-05,-2.42762052631047E-06,3.21338482653483E-07,8.67349318026477E-05,-3.8671817631249E-06,5.81326034664363E-05,0,0,0,0,0,0,package://doozy_bot/meshes/l_elbow_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://doozy_bot/meshes/l_elbow_link.STL,,elbow.stp-2,Coordinate System6lhua,Axis_l_elbow_joint,l_elbow_joint,revolute,0.0094738,0.0033095,-0.17326,0,0,0,l_shoulder_link,0.024412,-0.025799,0.99937,0,0,0,0,,,,,,,,
l_forarm_link,0.00323106841776752,-0.0275646010086832,-0.0678651597663743,0,0,0,0.0343679873488544,3.08185568488202E-05,-2.14041544030977E-07,5.90561698737247E-09,3.35854134168072E-05,6.06082537839032E-07,8.63577698916135E-06,0,0,0,0,0,0,package://doozy_bot/meshes/l_forarm_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://doozy_bot/meshes/l_forarm_link.STL,,FOREARM.stp-1,Coordinate System7lhel,Axis_l_forarm_joint,l_forarm_joint,revolute,-0.0033417,0.031958,-0.034115,0,0,0,l_elbow_link,0.076206,-0.99671,-0.027592,0,0,0,0,,,,,,,,
l_wrist_link,0.000194550669443488,-0.0042920704722024,-0.0636596439358776,0,0,0,0.126777666096182,0.000179484818623813,-9.69712905703243E-07,1.21843533593944E-05,0.000220546191652133,8.35397251506521E-06,7.85294064996557E-05,0,0,0,0,0,0,package://doozy_bot/meshes/l_wrist_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://doozy_bot/meshes/l_wrist_link.STL,,Wrist-arm-integrated.stp-1;12kg motor.catpart-2,Coordinate System8lhwr,Axis_l_wrist_joint,l_wrist_joint,revolute,0.0023892,-0.026523,-0.11278,0,0,0,l_forarm_link,0.00023894,0.02769,-0.99962,0,0,0,0,,,,,,,,
